scenario_id,prompt_style,turn,question,any_bias,leading,closed,anchoring,loaded,double_barreled,severity,rationale,neutral_rewrite
checkout_flow,bare,1,"Let's get started with the interview. 

Can you walk me through your typical online shopping experience, starting from when you find a product you're interested in and ending when you decide whether to complete a purchase or abandon your cart?",False,False,False,False,False,False,0,This question is open-ended and allows the participant to share their genuine experience without any influence or bias.,Can you describe your usual online shopping process from start to finish?
checkout_flow,bare,2,"Do you find that you're more likely to abandon your cart on certain types of websites, like those that specialize in groceries or those that are more general retailers like Amazon?",True,True,False,True,False,False,2,"The question introduces specific types of websites, which could influence the participant's response and shape their answer.",Are there any differences in how you interact with different types of online stores?
checkout_flow,bare,3,"When you do encounter issues during checkout, like being asked to log in when you're already logged in, do you try to troubleshoot the problem yourself or do you usually look for a way to contact customer support for help?",True,True,False,True,False,False,2,"The question assumes a specific issue and presents two potential actions, which could limit the participant's response and introduce bias.",What do you usually do when you encounter problems during the checkout process?
checkout_flow,bare,4,Have you ever had a particularly frustrating experience with an online checkout process that made you decide to avoid shopping on that website altogether?,True,True,True,False,True,False,3,"The question uses emotionally charged language and implies a negative experience, which could elicit a biased response.",Can you recall any experiences with online checkout processes that led you to change your shopping behavior?
checkout_flow,ux_guidelines,1,"Can you describe a recent online shopping experience where you abandoned your cart, and what specifically led you to stop the checkout process?",False,False,False,False,False,False,0,This question is open-ended and allows the participant to share their genuine experience without any influence or bias.,Can you tell me about a recent time when you didn't complete an online purchase?
checkout_flow,ux_guidelines,2,"When you compared the two websites, what factors influenced your decision to choose the one that didn't require creating an account upfront?",True,True,False,True,False,False,2,"The question assumes the participant compared two websites and chose one based on account creation, which might not be the case, and introduces a specific feature (account creation) that could shape the answer.",What factors do you consider when deciding which website to use for online shopping?
checkout_flow,ux_guidelines,3,You mentioned that you might create an account later if you wanted to track your orders or get rewards – have you ever created an account on an ecommerce website to take advantage of rewards or tracking features?,True,True,False,True,False,False,2,"The question references a previous statement that might not have been made and assumes the participant's motivations for creating an account, which could influence their response.",What benefits would motivate you to create an account on an ecommerce website?
checkout_flow,ux_guidelines,4,"Can you think of any situations where creating an account on an ecommerce website might be worth the extra step to you, even if it's not for rewards or tracking features?",True,False,False,True,False,False,1,The question introduces a specific context (creating an account) but does so in a way that allows the participant to think critically about their preferences without leading them towards a particular answer.,What would make creating an account on an ecommerce website worthwhile for you?
checkout_flow,bias_guardrail,1,"Can you walk me through your typical online shopping experience, including the steps you take when checking out?",False,False,False,False,False,False,0,This question is open-ended and allows the participant to share their genuine experience without any influence or bias.,Can you describe your usual online shopping process?
checkout_flow,bias_guardrail,2,What specifically makes you decide that the checkout process is going to take too long or is unclear?,False,False,False,False,False,False,0,"This question seeks specific factors influencing the participant's decision, without introducing any bias or assumption.",What factors contribute to your perception of the checkout process?
