review_id,scenario_id,prompt_style,turn,question,your_label_any_bias,judge_any_bias,judge_leading,judge_closed,judge_anchoring,judge_loaded,judge_double_barreled,judge_severity,judge_rationale,judge_neutral_rewrite
1,bank_fraud_alerts,ux_guidelines,5,"Have you ever thought about what information or context the bank could provide with the alert that would make it more clear whether or not you need to take action, or if you could safely ignore it?",FALSE,False,False,False,False,False,False,0,This question is exploratory and allows the participant to share their thoughts on what would be helpful without introducing any bias.,What kind of information would you find helpful in a fraud alert to determine the best course of action?
2,checkout_flow,bias_guardrail,5,How do you usually perceive the time it takes to resolve an issue with customer support when you're checking out?,FALSE,False,False,False,False,False,False,0,This question asks about the participant's perception of time without introducing any bias.,What's your experience with the time it takes for customer support to resolve issues during checkout?
3,grocery_substitution,bare,3,"How do you currently find out about these substitutions, such as through notifications during checkout, or by receiving an updated order summary after the substitution has been made?",TRUE,True,True,False,True,False,False,2,"The question introduces specific methods of finding out about substitutions, which may influence the participant's response.",How do you typically learn about changes to your grocery orders?
4,travel_planning,ux_guidelines,5,Are there any specific features or capabilities that you think an AI itinerary planner would need to have in order to provide you with the kind of suggestions and guidance that you described?,TRUE,True,False,False,True,False,False,1,"This question assumes the participant wants an AI itinerary planner and focuses on its features, which may not be the case.","What would make a travel planning tool useful to you, and what features would you expect it to have?"
5,budgeting_app,bare,4,"It can be challenging to keep track of all your expenses, especially the smaller ones.

Do you think there's anything that would make it more appealing to you to use a budgeting app, like this one that automatically categorizes your spending?",TRUE,True,True,False,True,False,False,2,"The question assumes the participant finds tracking expenses challenging and introduces a specific feature of the app, which could influence their response.",What features or aspects of a budgeting app would be most appealing to you?
6,fitness_onboarding,bias_guardrail,4,What do you think would be the most important information for a fitness app to know about you in order to provide effective workout recommendations and progress tracking?,TRUE,False,False,False,False,False,False,0,This question is open-ended and allows the participant to share their thoughts on what information is important for a fitness app to know.,What information do you think is most important for a fitness app to know about you?
7,customer_support_bot,ux_guidelines,3,"You mentioned that you eventually sent an email to cancel your subscription, which was easier than the live support experience. What made the email process more straightforward for you, and do you think it's because of the format or the way the email support was set up?",TRUE,True,True,False,True,False,True,2,"This question assumes the email process was easier and introduces the idea of format or setup, which could influence the participant's response.",How did your experience with email support compare to the live support experience?
8,learning_dashboard,bias_guardrail,2,What information do you think would be most useful to see on the dashboard when your child is struggling with a particular subject or assignment?,FALSE,False,False,False,False,False,False,0,"This question is specific and focused on the participant's needs, without introducing any bias or assumption.",What information would you find most useful to see on the dashboard regarding your child's online learning progress?
9,budgeting_app,bias_guardrail,6,"How do you think you might use a budgeting app to help you manage your financial anxiety, if you were to use one regularly?",TRUE,True,False,False,True,False,False,1,"The question introduces a specific solution (budgeting app) which could influence the participant's response, but it still allows for an open-ended answer.",What tools or strategies do you think could help you manage your financial anxiety?
10,job_alerts,bare,6,"Would you be willing to provide more detailed information about your skills and experience to a job search platform that uses algorithms to rank job openings, in exchange for more accurate and relevant job suggestions?",TRUE,True,True,True,True,False,False,2,"The question introduces a specific trade-off and implies a positive outcome, which could influence the participant's response.","What information are you willing to share with a job search platform, and what benefits do you expect in return?"
11,telehealth_booking,ux_guidelines,1,Can you walk me through your most recent experience booking a telehealth appointment for yourself or your elderly parent - what specifically led you to choose a telehealth option over an in-person visit?,TRUE,True,False,False,False,False,True,1,The question asks about two things at once: the experience of booking and the reason for choosing telehealth over in-person.,Can you describe your most recent experience booking a telehealth appointment?
12,budgeting_app,ux_guidelines,2,What was the most frustrating part about trying to manually track your expenses in that situation?,TRUE,False,False,False,False,False,False,0,This question is open-ended and seeks the participant's genuine feelings about their experience without introducing bias.,How did you feel about tracking your expenses in that situation?
13,grocery_substitution,bias_guardrail,6,"If you were to review and approve substitutions, what factors would you consider most important in determining whether a suggested substitution is suitable for your daughter's needs?",FALSE,False,False,False,False,False,False,0,This question is conditional but still allows the participant to share their genuine considerations.,What factors would you consider when evaluating the suitability of a product substitution for your daughter?
14,budgeting_app,bare,1,"Let's get started with the interview. I'm here to understand your thoughts and feelings about a new student budgeting app that can automatically categorize your spending. 

Here's my first question:

Have you ever used a budgeting or expense-tracking app before?",TRUE,True,False,True,False,False,False,1,"The question is straightforward but can be answered with a simple yes or no, which might limit the participant's response.",What experience do you have with budgeting or expense-tracking tools?
15,team_notes,bare,2,"How do you currently handle the situation when multiple people are contributing to the meeting notes at the same time, and it becomes difficult to keep track of who said what and when?",TRUE,False,False,False,False,False,False,0,"This question is specific and focused on a particular challenge, but it does not introduce any bias or assumption.","What challenges do you face when multiple team members contribute to meeting notes simultaneously, and how do you address them?"
